9번째 학습, 168, 214, 554
10번째 학습, 172, 498, 634
11번째 학습, 371, 562, 576
12번째 학습, 242, 646, 1251
0번째 학습, 643, 644, 653
1번째 학습, 183, 333, 546
2번째 학습, 180, 462, 976
3번째 학습, 229, 386, 534
4번째 학습, 275, 595, 893
1번째 학습, 225, 390, 919
2번째 학습, 188, 331, 505
3번째 학습, 180, 285, 573
4번째 학습, 149, 168, 404
5번째 학습, 150, 196, 459
6번째 학습, 190, 202, 359
7번째 학습, 158, 304, 481
8번째 학습, 381, 610, 1025
9번째 학습, 234, 809, 821
10번째 학습, 299, 702, 1109
11번째 학습, 156, 306, 479
12번째 학습, 255, 646, 1073
13번째 학습, 402, 786, 1398
14번째 학습, 435, 556, 959
15번째 학습, 195, 277, 454
16번째 학습, 383, 622, 795
17번째 학습, 160, 334, 602
18번째 학습, 222, 326, 484
19번째 학습, 165, 339, 884
20번째 학습, 223, 363, 687
21번째 학습, 685, 924, 1007
22번째 학습, 170, 188, 500
23번째 학습, 245, 552, 1059
24번째 학습, 230, 388, 541
25번째 학습, 230, 306, 387
602번째 학습, 195, 206, 603
1091번째 학습, 260, 500, 1092
438번째 학습, 125, 135, 439
387번째 학습, 312, 366, 388
501번째 학습, 241, 257, 502
1080번째 학습, 127, 317, 1081
411번째 학습, 145, 351, 412
986번째 학습, 558, 583, 987
385번째 학습, 249, 270, 386
583번째 학습, 271, 505, 584
1076번째 학습, 247, 571, 1077
529번째 학습, 367, 485, 530
397번째 학습, 194, 295, 398
182번째 학습, 166, 174, 183
467번째 학습, 78, 306, 468
596번째 학습, 579, 581, 597
530번째 학습, 142, 376, 531
407번째 학습, 178, 331, 408
433번째 학습, 168, 216, 434
813번째 학습, 278, 437, 814
787번째 학습, 212, 518, 788
929번째 학습, 144, 543, 930
372번째 학습, 164, 185, 373
515번째 학습, 139, 403, 516
797번째 학습, 242, 466, 798
530번째 학습, 152, 185, 531
446번째 학습, 133, 319, 447
389번째 학습, 180, 197, 390
911번째 학습, 433, 485, 912
751번째 학습, 137, 370, 752
544번째 학습, 218, 347, 545
594번째 학습, 198, 208, 595
380번째 학습, 87, 363, 381
1167번째 학습, 255, 438, 1168
968번째 학습, 215, 424, 969
468번째 학습, 176, 298, 469
861번째 학습, 283, 411, 862
444번째 학습, 179, 295, 445
931번째 학습, 704, 907, 932
486번째 학습, 169, 294, 487
784번째 학습, 290, 461, 785
580번째 학습, 251, 565, 581
168번째 학습, 113, 137, 169
1089번째 학습, 425, 1015, 1090
526번째 학습, 144, 286, 527
649번째 학습, 341, 625, 650
669번째 학습, 249, 257, 670
382번째 학습, 95, 245, 383
737번째 학습, 256, 693, 738
559번째 학습, 203, 523, 560
479번째 학습, 159, 280, 480
544번째 학습, 185, 198, 545
402번째 학습, 179, 341, 403
1044번째 학습, 269, 660, 1045
654번째 학습, 205, 389, 655
622번째 학습, 283, 520, 623
607번째 학습, 177, 306, 608
577번째 학습, 222, 334, 578
984번째 학습, 229, 832, 985
576번째 학습, 214, 247, 577
563번째 학습, 192, 294, 564
596번째 학습, 133, 220, 597
414번째 학습, 224, 403, 415
1212번째 학습, 362, 605, 1213
636번째 학습, 279, 421, 637
937번째 학습, 374, 819, 938
563번째 학습, 188, 433, 564
791번째 학습, 167, 552, 792
626번째 학습, 192, 361, 627
944번째 학습, 376, 926, 945
727번째 학습, 230, 248, 728
842번째 학습, 190, 672, 843
613번째 학습, 217, 313, 614
786번째 학습, 147, 244, 787
929번째 학습, 235, 550, 930
635번째 학습, 234, 493, 636
730번째 학습, 277, 491, 731
573번째 학습, 271, 471, 574
559번째 학습, 221, 440, 560
1201번째 학습, 403, 601, 1202
515번째 학습, 189, 412, 516
585번째 학습, 377, 554, 586
481번째 학습, 192, 352, 482
659번째 학습, 232, 428, 660
789번째 학습, 235, 246, 790
591번째 학습, 233, 433, 592
550번째 학습, 239, 394, 551
401번째 학습, 149, 161, 402
779번째 학습, 139, 212, 780
596번째 학습, 247, 552, 597
676번째 학습, 445, 464, 677
992번째 학습, 597, 707, 993
387번째 학습, 200, 221, 388
468번째 학습, 235, 430, 469
828번째 학습, 297, 755, 829
374번째 학습, 178, 345, 375
315번째 학습, 165, 292, 316
314번째 학습, 168, 298, 315
424번째 학습, 206, 376, 425
1042번째 학습, 321, 749, 1043
574번째 학습, 177, 410, 575
622번째 학습, 223, 591, 623
687번째 학습, 242, 334, 688
329번째 학습, 93, 281, 330
747번째 학습, 293, 306, 748
449번째 학습, 236, 257, 450
687번째 학습, 473, 488, 688
472번째 학습, 159, 239, 473
763번째 학습, 353, 589, 764
1315번째 학습, 449, 685, 1316
664번째 학습, 115, 225, 665
762번째 학습, 397, 452, 763
251번째 학습, 139, 151, 252
676번째 학습, 194, 486, 677
878번째 학습, 366, 633, 879
360번째 학습, 169, 295, 361
969번째 학습, 320, 771, 970
434번째 학습, 174, 411, 435
1185번째 학습, 83, 390, 1186
797번째 학습, 420, 596, 798
282번째 학습, 150, 174, 283
731번째 학습, 177, 198, 732
512번째 학습, 245, 269, 513
415번째 학습, 73, 283, 416
878번째 학습, 264, 498, 879
420번째 학습, 185, 390, 421
498번째 학습, 329, 419, 499
477번째 학습, 124, 360, 478
613번째 학습, 66, 134, 614
894번째 학습, 417, 783, 895
959번째 학습, 172, 530, 960
240번째 학습, 146, 209, 241
376번째 학습, 166, 239, 377
512번째 학습, 248, 478, 513
1443번째 학습, 417, 916, 1444
500번째 학습, 279, 492, 501
541번째 학습, 123, 221, 542
452번째 학습, 132, 375, 453
697번째 학습, 301, 521, 698
460번째 학습, 150, 248, 461
1309번째 학습, 245, 689, 1310
627번째 학습, 234, 419, 628
551번째 학습, 315, 410, 552
189번째 학습, 174, 184, 190
402번째 학습, 141, 168, 403
818번째 학습, 243, 256, 819
565번째 학습, 130, 159, 566
1016번째 학습, 314, 535, 1017
638번째 학습, 160, 214, 639
399번째 학습, 226, 376, 400
